index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,86,33,1010.991209,1
1,15111065706836782340,20,20,random,1,87,41,1010.260125,1
2,15111065706836782341,20,20,random,1,84,37,1010.522792,1
3,15111065706836782342,20,20,random,1,82,32,1010.731083,1
4,15111065706836782343,20,20,random,1,83,31,1010.302917,1
5,15111065706836782344,20,20,random,1,89,40,1010.118709,1
6,15111065706836782345,20,20,random,1,79,33,1009.805709,1
7,15111065706836782346,20,20,random,1,86,40,1010.563417,1
8,15111065706836782347,20,20,random,1,83,39,1010.651208,1
9,15111065706836782348,20,20,random,1,85,38,1011.516583,1
10,15111065706836782349,20,20,random,1,82,27,1011.807375,1
11,15111065706836782350,20,20,random,1,85,29,1011.088583,1
12,15111065706836782351,20,20,random,1,91,41,1011.763541,1
13,15111065706836782352,20,20,random,1,85,34,1010.347083,1
14,15111065706836782353,20,20,random,1,87,43,1010.3655,1
15,15111065706836782354,20,20,random,1,84,38,1010.163917,1
16,15111065706836782355,20,20,random,1,86,34,1010.663666,1
17,15111065706836782356,20,20,random,1,88,43,1010.412,1
18,15111065706836782357,20,20,random,1,88,32,1010.273208,1
19,15111065706836782358,20,20,random,1,87,30,1010.601041,1
20,15111065706836782359,20,20,random,1,86,30,1010.987416,1
21,15111065706836782360,20,20,random,1,87,38,1010.777916,1
22,15111065706836782361,20,20,random,1,83,30,1010.744916,1
23,15111065706836782362,20,20,random,1,85,33,1010.35625,1
24,15111065706836782363,20,20,random,1,80,37,1010.506041,1
25,15111065706836782364,20,20,random,1,82,32,1010.999833,1
26,15111065706836782365,20,20,random,1,87,33,1010.336792,1
27,15111065706836782366,20,20,random,1,88,39,1010.5285,1
28,15111065706836782367,20,20,random,1,80,41,1010.031791,1
29,15111065706836782368,20,20,random,1,84,41,1009.979666,1
30,15111065706836782369,20,20,random,1,84,45,1010.6365,1
31,15111065706836782370,20,20,random,1,81,37,1010.5215,1
32,15111065706836782371,20,20,random,1,90,43,1010.026709,1
33,15111065706836782372,20,20,random,1,86,33,1009.924083,1
34,15111065706836782373,20,20,random,1,81,37,1012.2325,1
35,15111065706836782374,20,20,random,1,85,29,1010.435917,1
36,15111065706836782375,20,20,random,1,83,30,1009.982333,1
37,15111065706836782376,20,20,random,1,83,38,1010.399875,1
38,15111065706836782377,20,20,random,1,88,40,1010.052208,1
39,15111065706836782378,20,20,random,1,83,26,1011.325958,1
40,15111065706836782379,20,20,random,1,86,26,1010.787334,1
41,15111065706836782380,20,20,random,1,89,30,1010.434958,1
42,15111065706836782381,20,20,random,1,77,25,1010.005917,1
43,15111065706836782382,20,20,random,1,86,38,1010.890792,1
44,15111065706836782383,20,20,random,1,84,30,1009.834208,1
45,15111065706836782384,20,20,random,1,88,37,1010.021667,1
46,15111065706836782385,20,20,random,1,84,31,1010.296,1
47,15111065706836782386,20,20,random,1,89,42,1010.787041,1
48,15111065706836782387,20,20,random,1,83,37,1009.584208,1
49,15111065706836782388,20,20,random,1,78,28,1010.447542,1
